1	4E-BP1
2	ABL1
3	AHCY
4	ALDH1A1
5	APEX1
6	ARHGEF12
7	BAG6
8	CA13
9	CAIX
10	CAMKK1
11	CAPG
12	CCDC80
13	CCL3
14	CD84
15	CLEC5A
16	CRADD
17	CRKL
18	DDAH1
19	DDC
20	DFFA
21	DNAJB1
22	EIF4B
23	EIF4G1
24	ENO2
25	FHIT
26	FKBP4
27	FKBP5
28	FOSB
29	GLO1
30	GLRX
31	GSTP1
32	Gal-9
33	HAGH
34	HDGF
35	HEXIM1
36	HMOX2
37	ILKAP
38	IMPA1
39	LILRB4
40	LOX-1
41	LYN
42	MAD1L1
43	MAP2K6
44	MAPT
45	METAP1D
46	MGMT
47	MILR1
48	NEFL
49	NQO2
50	PAG1
51	PARP-1
52	PFDN2
53	PFKM
54	PHOSPHO1
55	PIgR
56	PPP1R2
57	PPP1R9B
58	PPP3R1
59	PRDX1
60	PRDX3
61	PRDX5
62	PREB
63	PSIP1
64	RBKS
65	SCAMP3
66	SIGLEC7
67	SNCG
68	SOD2
69	SRC
70	SRP14
71	SRPK2
72	STAMBP
73	TBCB
74	THOP1
75	TIGAR
76	TNFRSF11A
77	USP8
78	WASF1
79	WWP2
80	hOSCAR