APEX1	CAIX
APEX1	CRKL
APEX1	DDAH1
APEX1	EIF4B
APEX1	ENO2
APEX1	FKBP4
APEX1	GLO1
APEX1	HDGF
APEX1	HMOX2
APEX1	MAD1L1
APEX1	MAPT
APEX1	METAP1D
APEX1	PAG1
APEX1	PHOSPHO1
APEX1	PPP3R1
APEX1	PRDX3
APEX1	RBKS
APEX1	SRP14
CAIX	CRKL
CAIX	DDAH1
CAIX	EIF4B
CAIX	ENO2
CAIX	FKBP4
CAIX	GLO1
CAIX	HDGF
CAIX	HMOX2
CAIX	MAD1L1
CAIX	MAPT
CAIX	METAP1D
CAIX	PAG1
CAIX	PPP3R1
CAIX	PRDX3
CAIX	RBKS
CAIX	SRP14
CRKL	DDAH1
CRKL	EIF4B
CRKL	ENO2
CRKL	FKBP4
CRKL	GLO1
CRKL	HDGF
CRKL	HMOX2
CRKL	MAD1L1
CRKL	MAPT
CRKL	METAP1D
CRKL	PAG1
CRKL	PHOSPHO1
CRKL	PPP3R1
CRKL	PRDX3
CRKL	RBKS
CRKL	SRP14
CRKL	WASF1
DDAH1	EIF4B
DDAH1	ENO2
DDAH1	FKBP4
DDAH1	GLO1
DDAH1	HDGF
DDAH1	HMOX2
DDAH1	MAD1L1
DDAH1	MAPT
DDAH1	METAP1D
DDAH1	PAG1
DDAH1	PHOSPHO1
DDAH1	PPP3R1
DDAH1	PRDX3
DDAH1	RBKS
DDAH1	SRP14
DDAH1	WASF1
EIF4B	ENO2
EIF4B	FKBP4
EIF4B	GLO1
EIF4B	HMOX2
EIF4B	MAD1L1
EIF4B	MAPT
EIF4B	METAP1D
EIF4B	PAG1
EIF4B	PHOSPHO1
EIF4B	PPP3R1
EIF4B	PRDX3
EIF4B	RBKS
EIF4B	SRP14
EIF4B	WASF1
ENO2	FKBP4
ENO2	GLO1
ENO2	HDGF
ENO2	HMOX2
ENO2	MAD1L1
ENO2	MAPT
ENO2	METAP1D
ENO2	PAG1
ENO2	PHOSPHO1
ENO2	PPP3R1
ENO2	PRDX3
ENO2	RBKS
ENO2	SRP14
ENO2	WASF1
FKBP4	GLO1
FKBP4	HDGF
FKBP4	HMOX2
FKBP4	MAD1L1
FKBP4	MAPT
FKBP4	METAP1D
FKBP4	PAG1
FKBP4	PHOSPHO1
FKBP4	PPP3R1
FKBP4	PRDX3
FKBP4	RBKS
FKBP4	SRP14
FKBP4	WASF1
GLO1	HDGF
GLO1	HMOX2
GLO1	MAD1L1
GLO1	MAPT
GLO1	METAP1D
GLO1	PAG1
GLO1	PHOSPHO1
GLO1	PPP3R1
GLO1	PRDX3
GLO1	RBKS
GLO1	SRP14
GLO1	WASF1
HDGF	MAPT
HDGF	PAG1
HDGF	RBKS
HMOX2	MAD1L1
HMOX2	MAPT
HMOX2	METAP1D
HMOX2	PAG1
HMOX2	PHOSPHO1
HMOX2	PPP3R1
HMOX2	PRDX3
HMOX2	RBKS
HMOX2	SRP14
HMOX2	WASF1
MAD1L1	MAPT
MAD1L1	METAP1D
MAD1L1	PAG1
MAD1L1	PHOSPHO1
MAD1L1	PPP3R1
MAD1L1	PRDX3
MAD1L1	RBKS
MAD1L1	SRP14
MAPT	METAP1D
MAPT	PAG1
MAPT	PHOSPHO1
MAPT	PPP3R1
MAPT	PRDX3
MAPT	RBKS
MAPT	SRP14
MAPT	WASF1
METAP1D	PAG1
METAP1D	PHOSPHO1
METAP1D	PPP3R1
METAP1D	PRDX3
METAP1D	RBKS
METAP1D	SRP14
METAP1D	WASF1
PAG1	PHOSPHO1
PAG1	PPP3R1
PAG1	PRDX3
PAG1	RBKS
PAG1	SRP14
PAG1	WASF1
PHOSPHO1	PPP3R1
PHOSPHO1	PRDX3
PHOSPHO1	RBKS
PHOSPHO1	SRP14
PHOSPHO1	WASF1
PPP3R1	PRDX3
PPP3R1	RBKS
PPP3R1	SRP14
PPP3R1	WASF1
PRDX3	RBKS
PRDX3	SRP14
PRDX3	WASF1
RBKS	SRP14
RBKS	WASF1
SRP14	WASF1