ANGPT2	CDH2
ANGPT2	CLSTN2
ANGPT2	LRP11
ANGPT2	SEMA3F
ANGPTL1	CDH2
ANGPTL1	CLSTN2
ANGPTL1	LRP11
ANGPTL1	SDC4
CD164	CLSTN2
CD164	LRP11
CDH2	CHRDL2
CDH2	CLSTN2
CDH2	LRP11
CDH2	NT-proBNP
CDH2	PILRB
CDH2	RTN4R
CDH2	SDC4
CDH2	SEMA3F
CDH2	VCAN
CHRDL2	CLSTN2
CHRDL2	LRP11
CHRDL2	SEMA3F
CLSTN2	CLUL1
CLSTN2	LRP11
CLSTN2	NT-proBNP
CLSTN2	PILRB
CLSTN2	RTN4R
CLSTN2	SDC4
CLSTN2	SEMA3F
CLSTN2	VCAN
CLUL1	LRP11
GAL	LRP11
KYAT1	PILRB
KYAT1	SDC4
LRP11	NT-proBNP
LRP11	PILRB
LRP11	RTN4R
LRP11	SDC4
LRP11	SEMA3F
LRP11	VCAN
NT-proBNP	SEMA3F
PILRB	SDC4
RTN4R	SEMA3F
RTN4R	VCAN
SEMA3F	VCAN