1	ADA
2	ADAM15
3	ADGRB3
4	AMIGO2
5	APLP1
6	Alpha-2-MRAP
7	BAMBI
8	BCAN
9	BMP-4
10	CA14
11	CADM3
12	CD200
13	CD302
14	CD38
15	CD83
16	CDH15
17	CDH6
18	CFC1
19	CLSTN1
20	CLSTN3
21	CNTN5
22	CNTNAP2
23	CPM
24	CRH
25	CTSS
26	CXADR
27	DCBLD2
28	DDR1
29	DNER
30	DPP10
31	DPP6
32	DRAXIN
33	EDA2R
34	EFNA4
35	EGFL7
36	ENTPD6
37	EPHA10
38	EPHB6
39	FAM19A5
40	FGFR2
41	FLRT2
42	GALNT2
43	GDF-8
44	GDNFR-alpha-3
45	GFR-alpha-1
46	GFRA2
47	HS6ST1
48	IGSF3
49	IL17RB
50	ISLR2
51	JAM-B
52	KIRREL2
53	LAYN
54	LIF-R
55	LRRN1
56	LTBP3
57	MANF
58	MATN3
59	MDGA1
60	N2DL-2
61	NAAA
62	NBL1
63	NPPC
64	NRP2
65	NTRK2
66	NTRK3
67	NUCB2
68	NXPH1
69	PCDH17
70	PD-L1
71	PDGF-R-alpha
72	PLXDC1
73	PLXNA4
74	PLXNB1
75	PLXNB3
76	PODXL2
77	PRTG
78	PVR
79	RGMA
80	RGMB
81	ROBO2
82	SCARA5
83	SCARB2
84	SCARF2
85	SEZ6L2
86	SIGLEC1
87	SKR3
88	SLITRK2
89	SMOC1
90	SMOC2
91	SMPD1
92	SORCS2
93	SPOCK1
94	TGF-alpha
95	TN-R
96	TNFRSF13C
97	TNFRSF21
98	TWEAK
99	UNC5C
100	VEGFA
101	VWC2
102	gal-8
103	uPA